-14.0234537,5.9516579,5.0,-1.5726193376317987
-14.0238209,5.7502331,5.0,-1.5721923329254397
-14.0240983,5.5515235,5.0,-1.5724970455399532
-14.0244372,5.352255,5.0,-1.5723322334326852
-14.0247444,5.152243,5.0,-1.5713608775676262
-14.0248567,4.9533238,5.0,-1.5696146532163526
-14.0246209,4.7537764,5.0,-1.5674572252872465
-14.0239543,4.5541426,5.0,-1.5652381183528619
-14.0228468,4.3548898,5.0,-1.5632588894044899
-14.021343,4.1553828,5.0,-1.5617912109230818
-14.0195469,3.9559349,5.0,-1.561030832043858
-14.0175992,3.7564941,5.0,-1.5610953317921852
-14.0156619,3.5567992,5.0,-1.5620430758506452
-14.0139182,3.3575983,5.0,-1.5638687326637817
-14.0125361,3.158095,5.0,-1.5665246242401571
-14.0116818,2.9581057,5.0,-1.5699114553649194
-14.0115058,2.7592068,5.0,-1.573880768462359
-14.0121215,2.5595927,5.0,-1.578352602358582
-14.0136327,2.3596038,5.0,-1.5831578580357475
-14.0160884,2.1609573,5.0,-1.5876768893591573
-14.0194668,1.9608408,5.0,-1.590162244094211
-14.0233266,1.7615568,5.0,-1.5869391609300088
-14.0265566,1.5614854,4.8141038,-1.5630344211960068
-14.0250047,1.3615514,4.5318297,-1.5069992080322296
-14.012234,1.1616463,4.3414081,-1.4202834440726153
-13.9823325,0.9644847,4.2471237,-1.3074282717933523
-13.9302167,0.7711992,4.196165,-1.1789612517775203
-13.8534323,0.5853713,4.1588988,-1.0451280776627054
-13.7547732,0.4153025,4.142353,-0.9088575869315303
-13.6293346,0.254322,4.1257409,-0.7788199888460704
-13.487206,0.1140511,4.1550157,-0.7036388570197557
-13.33979,-0.0110355,4.3724635,-0.6630041731752516
-13.1859315,-0.1311882,4.5914,-0.5818694537879471
-13.0178902,-0.2417331,4.7043886,-0.47911132612811347
-12.8375401,-0.3354217,4.7172115,-0.3749326449420906
-12.6535375,-0.4078357,4.7038099,-0.27474378449989856
-12.4601916,-0.4623345,4.7244122,-0.1812593159011843
-12.2634931,-0.4983836,4.7732754,-0.10044939909740967
-12.0644101,-0.5184489,4.8631971,-0.03737461528269404
-11.865135,-0.5259002,5.0,0.004942796747503173
-11.6658365,-0.5249151,5.0,0.025346464331817697
-11.466522,-0.5198621,5.0,0.034325687385177536
-11.2670705,-0.5130131,5.0,0.03878384270780839
-11.0675952,-0.5052728,5.0,0.042793857839177316
-10.8682491,-0.4967368,5.0,0.046500394207039164
-10.6688484,-0.4874579,5.0,0.04982998415868183
-10.4695192,-0.4775171,5.0,0.052850625989508536
-10.2702598,-0.4669763,5.0,0.0555574885501785
-10.0709133,-0.4558897,5.0,0.0579458533725764
-9.871709,-0.4443337,5.0,0.06002889322505548
-9.672503,-0.4323612,5.0,0.061813952413867244
-9.4732165,-0.4200268,5.0,0.0633042099258209
-9.2741028,-0.4074052,5.0,0.06450696534177616
-9.0749251,-0.394539,5.0,0.06542834479194487
-8.8757168,-0.3814865,5.0,0.06607234404749046
-8.6766165,-0.3683123,5.0,0.06644582778755546
-8.4774499,-0.355059,5.0,0.06655136682391226
-8.2782985,-0.3417856,5.0,0.06639304806092167
-8.0791611,-0.3285448,5.0,0.06597472466933746
-7.8799954,-0.3153858,5.0,0.06529746171373904
-7.6808378,-0.3023628,5.0,0.06436379553499307
-7.4816518,-0.2895247,5.0,0.06317390877843715
-7.282482,-0.2769256,5.0,0.061728871980174474
-7.0832518,-0.2646117,5.0,0.06002765658732569
-6.8840134,-0.2526375,5.0,0.05806946466426172
-6.6848161,-0.2410572,5.0,0.05585182399077106
-6.4854742,-0.229912,5.0,0.053371807954572685
-6.2861838,-0.2192654,5.0,0.050627676565174626
-6.0868922,-0.2091671,5.0,0.047613978030201745
-5.8874588,-0.1996641,5.0,0.04432681944918692
-5.6881188,-0.1908222,5.0,0.040761101710092756
-5.4886984,-0.1826891,5.0,0.03691073923777192
-5.2891859,-0.1753216,5.0,0.03277048754483134
-5.0898004,-0.1687853,5.0,0.028333360991649507
-4.8902446,-0.1631297,5.0,0.023593573606880015
-4.6906722,-0.1584202,5.0,0.018542979047127522
-4.4912503,-0.1547219,5.0,0.013176006203300913
-4.2915883,-0.152091,5.0,0.0074967859329799135
-4.0919865,-0.1505946,5.0,0.0014656401196747836
-3.8925516,-0.1503023,5.0,-0.0048865964719964775
-3.6928641,-0.1512781,5.0,-0.011295817603168622
-3.493312,-0.1535323,5.0,-0.017490660040132604
-3.2938716,-0.157021,5.0,-0.02329978796828615
-3.0942793,-0.1616723,5.0,-0.028766887555625932
-2.8947959,-0.1674124,5.0,-0.03388292723484889
